Date,Month,Year,Quarter,Service,Sanctuary Attendance,Volunteer Classroom Attendance,Nursery Attendance,K-3 Attendance,4-6 Attendance,Youth Attendance,In-Person Total,"Adjusted Total Attendence 
(to remove duplicates)",Online Attendance,Total K-6th Grade Attendence,Total Adults,Notes
3/5/23,March,2023,Q1,9:15 AM,49,2,2,0,0,0,53,51,0,0,51,
3/5/23,March,2023,Q1,11:00 AM,55,6,4,12,8,4,89,81,9,20,61,
3/12/23,March,2023,Q1,9:15 AM,0,,0,0,0,0,0,0,0,0,0,Canceled due to ice
3/12/23,March,2023,Q1,11:00 AM,37,3,0,4,3,1,48,45,15,7,40,low attendance due to icy roads
3/19/23,March,2023,Q1,9:15 AM,46,1,3,0,0,0,50,49,15,0,47,
3/19/23,March,2023,Q1,11:00 AM,55,5,7,10,7,0,84,80,0,17,60,2 youth served in nursery
3/26/23,March,2023,Q1,9:15 AM,31,1,3,0,0,0,35,34,11,0,32,
3/26/23,March,2023,Q1,11:00 AM,36,6,4,11,7,0,64,59,0,18,42,
4/2/23,April,2023,Q2,9:15 AM,52,1,4,0,0,0,57,56,8,0,53,
4/2/23,April,2023,Q2,11:00 AM,43,5,2,10,7,0,67,63,0,17,48,
4/9/23,April,2023,Q2,9:15 AM,47,1,6,0,0,0,54,53,6,0,48,
4/9/23,April,2023,Q2,11:00 AM,77,5,4,5,7,0,98,94,0,12,82,
4/16/23,April,2023,Q2,9:15 AM,35,1,2,0,0,0,38,37,14,0,36,
4/16/23,April,2023,Q2,11:00 AM,56,5,7,8,4,0,80,76,0,12,61,
4/23/23,April,2023,Q2,9:15 AM,44,1,2,0,0,0,47,46,11,0,45,
4/23/23,April,2023,Q2,11:00 AM,55,5,2,8,6,0,76,72,0,14,60,
4/30/23,April,2023,Q2,9:15 AM,49,1,3,0,0,0,53,52,13,0,50,
4/30/23,April,2023,Q2,11:00 AM,44,3,4,6,8,0,65,63,14,14,47,
5/7/23,May,2023,Q2,9:15 AM,59,1,3,0,0,0,63,62,15,0,60,
5/7/23,May,2023,Q2,11:00 AM,40,8,3,12,10,6,79,68,0,22,48,
5/14/23,May,2023,Q2,9:15 AM,46,1,3,0,0,0,50,49,13,0,47,
5/14/23,May,2023,Q2,11:00 AM,33,6,2,9,7,6,63,53,0,16,39,
5/21/23,May,2023,Q2,9:15 AM,67,2,4,0,0,0,73,71,7,0,69,
5/21/23,May,2023,Q2,11:00 AM,49,6,1,9,7,6,78,68,0,16,55,
5/28/23,May,2023,Q2,9:15 AM,48,2,1,0,0,0,51,49,15,0,50,attendence estimated in Harley's absence
5/28/23,May,2023,Q2,11:00 AM,35,5,1,5,2,5,53,45,0,7,40,attendence estimated in Harley's absence
6/4/23,June,2023,Q2,9:15 AM,62,1,1,0,0,0,64,63,5,0,63,
6/4/23,June,2023,Q2,11:00 AM,35,5,2,7,7,6,62,53,0,14,40,
6/11/23,June,2023,Q2,9:15 AM,54,1,3,0,0,0,58,57,9,0,55,
6/11/23,June,2023,Q2,11:00 AM,43,5,3,9,6,4,70,63,0,15,48,
6/18/23,June,2023,Q2,9:15 AM,44,0,0,0,0,0,44,44,3,0,44,
6/18/23,June,2023,Q2,11:00 AM,40,5,1,10,7,5,68,60,0,17,45,
6/25/23,June,2023,Q2,9:15 AM,41,1,3,0,0,0,45,44,18,0,42,
6/25/23,June,2023,Q2,11:00 AM,44,5,2,7,5,6,69,60,0,12,49,
7/2/23,July,2023,Q3,9:15 AM,44,1,2,0,0,0,47,46,6,0,45,
